id,bloco,tema,subtema_edital,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,opcao_e,correta,explicacao
194,Jornalismo,Comunicacao organizacional integrada: areas e atribuicoes,Edital 3,Assinale a alternativa INCORRETA sobre comunicacao organizacional integrada:,"Busca articular assessoria de imprensa, publicidade, comunicacao interna e demais areas de forma coerente",A comunicacao interna e voltada aos proprios colaboradores da organizacao,Stakeholders sao os diversos publicos de interesse relacionados a organizacao,"Cada area de comunicacao deve atuar de forma isolada, sem qualquer articulacao com as demais",A comunicacao institucional/relacoes publicas protege a imagem e a reputacao da organizacao,D,"A comunicacao integrada busca justamente articular as areas, e nao mante-las isoladas — a alternativa D esta incorreta."
195,Jornalismo,"Politicas de Comunicacao: valores, objetivos, diretrizes e procedimentos",Edital 3.1,Assinale a alternativa correta sobre Politicas de Comunicacao:,Formalizam apenas o cronograma de eventos sociais da empresa,"Formalizam valores, objetivos, diretrizes e procedimentos que orientam a comunicacao da organizacao","Sao documentos exclusivos de empresas privadas, nunca aplicaveis a orgaos publicos",Substituem integralmente a necessidade de assessoria de imprensa,Nao tem relacao com a atuacao dos colaboradores da organizacao,B,"A Politica de Comunicacao formaliza valores, objetivos, diretrizes e procedimentos que orientam a comunicacao institucional."
196,Jornalismo,Assessoria de imprensa: questoes eticas e papel do assessor (publico e privado),Edital 4,Assinale a alternativa INCORRETA sobre o papel do assessor de imprensa:,"No setor publico, o assessor tem responsabilidade adicional de garantir transparencia e acesso a informacao","Na iniciativa privada, o assessor tende a focar na reputacao da marca e no relacionamento comercial",O assessor deve mediar com transparencia a relacao entre fonte e jornalistas,E eticamente aceitavel que o assessor forneca informacoes falsas caso isso favoreca a imagem da instituicao,O assessor deve respeitar o direito de resposta e o interesse publico,D,Fornecer informacoes falsas fere principios eticos basicos da profissao — a alternativa D esta incorreta.
197,Jornalismo,"Perfil do profissional de assessoria: exigencias, dados e pesquisa complementar",Edital 4.1,Assinale a alternativa correta sobre o perfil exigido do assessor de imprensa:,"Deve evitar qualquer contato com dados, mapas e graficos","Deve ter capacidade de leitura e cruzamento de dados, mapas, graficos e indicadores numericos",Nao precisa conhecer o funcionamento das redacoes jornalisticas,Deve restringir sua atuacao apenas a producao de convites de eventos,A pesquisa complementar em livros e textos e dispensavel,B,"O perfil do assessor exige capacidade de leitura e cruzamento de dados, mapas, graficos e indicadores numericos, alem de pesquisa complementar."
198,Jornalismo,Veiculos de comunicacao internos e externos,Edital 4.2,Assinale a alternativa INCORRETA sobre veiculos de comunicacao internos e externos:,O house organ e uma publicacao institucional voltada ao publico interno e/ou externo,A newsletter e tipicamente um boletim periodico distribuido por e-mail,A revista institucional pode aprofundar conteudos e fortalecer a imagem da organizacao,"Veiculos internos e externos cumprem exatamente a mesma funcao, sem qualquer diferenca de publico-alvo",Esses veiculos fazem parte da comunicacao organizacional integrada,D,"Veiculos internos e externos tem publicos-alvo distintos (colaboradores x publico externo), com funcoes diferenciadas — a alternativa D esta incorreta."
199,Jornalismo,Clipping e clipping eletronico,Edital 4.3,Assinale a alternativa correta sobre clipping:,O clipping serve para compilar e organizar materias ja publicadas sobre a organizacao,"O clipping eletronico e feito exclusivamente de forma manual, recortando jornais impressos",O clipping substitui a necessidade de producao de releases,Clipping e sinonimo de nota oficial,O clipping nao tem qualquer utilidade para a assessoria de imprensa,A,"O clipping compila as materias publicadas sobre a organizacao, permitindo acompanhar sua repercussao na midia."
200,Jornalismo,"Producao de releases, comunicados e notas oficiais",Edital 4.4,"Assinale a alternativa INCORRETA sobre releases, comunicados e notas oficiais:","O release segue estrutura semelhante a da noticia, com lide e informacoes objetivas","A nota oficial e assinada em nome da organizacao, e nao de uma pessoa fisica","O comunicado informa de forma direta um aviso, mudanca ou evento","Release e nota oficial sao termos absolutamente sinonimos, sem qualquer diferenca de uso","A nota oficial costuma ser reativa, usada diante de uma demanda ou crise",D,"Release (proativo, sugestao de pauta) e nota oficial (reativa, posicionamento formal) tem usos distintos — a alternativa D esta incorreta."
201,Jornalismo,Midias Sociais: a Internet como ferramenta para construcao da marca,Edital 5,Assinale a alternativa correta sobre a internet como ferramenta de construcao de marca:,"A presenca digital consistente, com identidade e tom de voz coerentes, fortalece a construcao de marca",A internet nao oferece vantagens em relacao a midia tradicional para a construcao de marca,Mudar constantemente a identidade visual fortalece a percepcao da marca,A construcao de marca digital independe de qualquer interacao com o publico,Redes sociais nao permitem mensurar resultados de uma estrategia de marca,A,"A presenca digital consistente, com identidade visual e tom de voz coerentes, fortalece a construcao de marca ao longo do tempo."
202,Jornalismo,A importancia das redes sociais para as marcas,Edital 5.1,Assinale a alternativa INCORRETA sobre a importancia das redes sociais para as marcas:,Permitem relacionamento direto e mensuravel com o publico,Contribuem para fortalecer a percepcao de proximidade e confianca junto ao publico,Sao irrelevantes para a reputacao e os resultados de negocio de uma marca,Podem fortalecer vendas e reputacao quando bem geridas,"Oferecem canais diretos, sem a intermediacao da midia tradicional",C,"As redes sociais sao, ao contrario, altamente relevantes para reputacao e resultados de negocio — a alternativa C esta incorreta."
203,Jornalismo,A interacao entre marcas digitais e o seu publico,Edital 5.2,Assinale a alternativa correta sobre a interacao entre marcas digitais e seu publico:,"E um processo de mao unica, sem qualquer resposta do publico","E bidirecional, permitindo que o publico responda, comente e influencie a percepcao da marca","Deve ser evitada, pois aumenta o risco de criticas",Independe de qualquer estrategia de conteudo,So e possivel em marcas de grande porte,B,"A interacao entre marca e publico nas midias digitais e bidirecional, com o publico influenciando ativamente a percepcao da marca."
204,Jornalismo,Construindo presenca e engajamento nas redes sociais,Edital 5.3,Assinale a alternativa INCORRETA sobre presenca e engajamento nas redes sociais:,"O engajamento e medido por curtidas, comentarios, compartilhamentos e interacao real",A regularidade de publicacao contribui para construir presenca consistente,A coerencia de tom de voz ao longo do tempo fortalece a identidade da marca nas redes,"O numero de seguidores, isoladamente, e sempre a melhor medida de engajamento",Metricas de desempenho ajudam a orientar ajustes na estrategia de conteudo,D,Engajamento nao se resume ao numero de seguidores; envolve interacao real do publico com o conteudo — a alternativa D esta incorreta.
205,Jornalismo,Cenario atual da exploracao de redes sociais e midias interativas por empresas,Edital 5.4,Assinale a alternativa correta sobre o cenario atual de exploracao de redes sociais por empresas e orgaos publicos:,"Buscam ampliar alcance, dialogar diretamente com o publico e fortalecer reputacao de forma agil",Tendem a abandonar por completo o uso de redes sociais,"Utilizam redes sociais apenas para fins internos, sem contato com o publico externo",Nao ha qualquer mensuracao possivel dos resultados obtidos,As midias interativas restringem o usuario a consumo passivo,A,"Empresas e orgaos publicos utilizam as redes para ampliar alcance, dialogar com o publico e fortalecer a reputacao de forma agil."
206,Jornalismo,"Fundamentos, estrutura e tecnicas de redacao/edicao para midias digitais",Edital 5.5,Assinale a alternativa INCORRETA sobre redacao e edicao para midias digitais:,O texto deve ser adaptado ao formato e a linguagem de cada canal,Paragrafos curtos e subtitulos favorecem a leitura escaneavel,Palavras-chave auxiliam a organizacao e a compreensao do conteudo,"O mesmo texto, no mesmo formato, deve ser usado identicamente em todos os canais, sem qualquer adaptacao",A comunicacao visual pode reforcar a mensagem do texto,D,"A redacao digital exige adaptar formato e linguagem a cada canal, e nao repetir o mesmo texto identicamente em todos — a alternativa D esta incorreta."
207,Jornalismo,"Leitura critica, preparacao e tratamento de textos em midias digitais",Edital 5.6,Assinale a alternativa correta sobre a leitura critica de textos para midias digitais:,"Deve verificar apenas o numero de caracteres do texto, ignorando o conteudo","Deve verificar precisao factual, clareza, tom adequado ao canal e ausencia de erros",E dispensavel quando o texto vem de uma fonte considerada confiavel,Deve ser feita apenas apos a publicacao do conteudo,Nao tem relacao com a adequacao do texto ao publico-alvo,B,"A leitura critica verifica precisao factual, clareza, adequacao de tom ao canal e ausencia de erros antes de publicar."
208,Jornalismo,Integracao entre texto e comunicacao visual,Edital 5.7,Assinale a alternativa INCORRETA sobre a integracao entre texto e comunicacao visual:,Texto e imagem/video devem se reforcar mutuamente na midia digital,Um bom infografico traduz dados complexos em representacao visual clara e precisa,"A comunicacao visual deve, idealmente, estar dissociada do conteudo do texto, sem qualquer relacao entre eles",A integracao amplia a compreensao da mensagem pelo publico,Infograficos devem apresentar hierarquia visual clara,C,"A comunicacao visual deve reforcar o conteudo do texto, e nao estar dissociada dele — a alternativa C esta incorreta."
209,Jornalismo,Novas logicas de circulacao de noticias e producao jornalistica no contexto da mobilidade,Edital 5.8,Assinale a alternativa correta sobre a producao jornalistica no contexto da mobilidade:,O consumo de noticias por smartphones exige formatos curtos e de leitura rapida,A mobilidade tornou irrelevante a producao de conteudo em video,O publico deixou de redistribuir e comentar conteudos nas redes,"A circulacao de noticias hoje segue um unico canal linear, sem redistribuicao",Formatos longos sao sempre preferiveis no consumo mobile,A,"O consumo predominante por smartphones exige formatos curtos, verticais e de leitura rapida, adaptados a mobilidade."
210,Jornalismo,"Conceito, identificacao, gestao e impactos de crises no ambiente digital",Edital 5.9,Assinale a alternativa INCORRETA sobre gestao de crises no ambiente digital:,O monitoramento rapido (social listening) e uma etapa importante da gestao de crises,Definir um porta-voz contribui para uma resposta coerente durante a crise,A resposta transparente ajuda a conter a escalada de uma crise digital,"A melhor estrategia diante de uma crise digital e ignorar completamente o assunto, sem qualquer posicionamento",Uma crise digital pode ameacar a reputacao da organizacao rapidamente,D,"Ignorar a crise, sem qualquer posicionamento, tende a agravar o problema, e nao a resolve-lo — a alternativa D esta incorreta."
211,Jornalismo,Funcionarios e politica interna no uso de midias sociais,Edital 5.10,Assinale a alternativa correta sobre a politica interna de uso de midias sociais:,Deve orientar o que os colaboradores podem ou nao publicar em nome da organizacao,E desnecessaria em organizacoes de qualquer porte,"Deve proibir totalmente o uso pessoal de redes sociais pelos funcionarios, mesmo fora do expediente",Nao tem relacao com a protecao da reputacao institucional,Deve ser aplicada apenas a diretores da organizacao,A,"A politica interna orienta o que colaboradores podem/nao publicar em nome da organizacao, protegendo a reputacao institucional."
